avg_brightness,contrast,sharpness
5.183737874031066895e-01,1.805756837129592896e-01,3.260758146643638611e-02,3.400000000000000000e+01
4.954848289489746094e-01,1.879123598337173462e-01,3.531105443835258484e-02,7.300000000000000000e+01
5.084214210510253906e-01,1.914845854043960571e-01,3.666634857654571533e-02,5.000000000000000000e+00
5.115301609039306641e-01,1.787901222705841064e-01,3.196590766310691833e-02,2.000000000000000000e+00
4.908768236637115479e-01,1.725761741399765015e-01,2.978253737092018127e-02,8.500000000000000000e+01
4.976524412631988525e-01,1.876539438962936401e-01,3.521400317549705505e-02,9.700000000000000000e+01
5.176863670349121094e-01,1.773740649223327637e-01,3.146155923604965210e-02,3.800000000000000000e+01
5.229349136352539062e-01,1.787141710519790649e-01,3.193875774741172791e-02,5.500000000000000000e+01
5.039081573486328125e-01,1.779783964157104492e-01,3.167630732059478760e-02,9.200000000000000000e+01
4.875306487083435059e-01,1.760818362236022949e-01,3.100481256842613220e-02,5.800000000000000000e+01
4.970664680004119873e-01,1.823217868804931641e-01,3.324123471975326538e-02,1.400000000000000000e+01
5.135828256607055664e-01,1.771802604198455811e-01,3.139284253120422363e-02,9.200000000000000000e+01
4.905369281768798828e-01,2.010207325220108032e-01,4.040933400392532349e-02,8.000000000000000000e+01
4.016888439655303955e-01,1.366732418537139893e-01,1.867957599461078644e-02,2.600000000000000000e+01
5.162444710731506348e-01,1.731489002704620361e-01,2.998054027557373047e-02,8.200000000000000000e+01
5.174708366394042969e-01,1.749352216720581055e-01,3.060233034193515778e-02,3.000000000000000000e+01
5.380898118019104004e-01,1.980954557657241821e-01,3.924181312322616577e-02,6.000000000000000000e+01
5.052887797355651855e-01,1.817038953304290771e-01,3.301630169153213501e-02,3.600000000000000000e+01
4.916992187500000000e-01,1.788654178380966187e-01,3.199283778667449951e-02,9.500000000000000000e+01
5.088695287704467773e-01,2.093212902545928955e-01,4.381540045142173767e-02,3.400000000000000000e+01
5.417518615722656250e-01,1.970271319150924683e-01,3.881968930363655090e-02,3.700000000000000000e+01
5.098403096199035645e-01,1.915780454874038696e-01,3.670214861631393433e-02,3.500000000000000000e+01
5.195398926734924316e-01,1.658551692962646484e-01,2.750793658196926117e-02,7.100000000000000000e+01
5.052657723426818848e-01,1.736602187156677246e-01,3.015787340700626373e-02,8.000000000000000000e+01
4.881711900234222412e-01,1.769682765007019043e-01,3.131777048110961914e-02,8.200000000000000000e+01
4.986107945442199707e-01,1.853510737419128418e-01,3.435501828789710999e-02,4.000000000000000000e+00
5.032446980476379395e-01,1.820260584354400635e-01,3.313348814845085144e-02,6.600000000000000000e+01
5.007228851318359375e-01,1.752089858055114746e-01,3.069818951189517975e-02,9.000000000000000000e+01
5.480229854583740234e-01,1.619971245527267456e-01,2.624306641519069672e-02,8.600000000000000000e+01
4.962574839591979980e-01,1.595593541860580444e-01,2.545918896794319153e-02,6.900000000000000000e+01
5.094630718231201172e-01,1.870459169149398804e-01,3.498617559671401978e-02,1.200000000000000000e+01
5.109298229217529297e-01,1.852742284536361694e-01,3.432653844356536865e-02,1.100000000000000000e+01
5.062758922576904297e-01,1.821265518665313721e-01,3.317008167505264282e-02,5.500000000000000000e+01
5.110782384872436523e-01,1.875142306089401245e-01,3.516158461570739746e-02,2.900000000000000000e+01
4.966433048248291016e-01,1.702347397804260254e-01,2.897986769676208496e-02,3.200000000000000000e+01
5.338005423545837402e-01,1.922399103641510010e-01,3.695618733763694763e-02,3.800000000000000000e+01
4.981914758682250977e-01,1.674576699733734131e-01,2.804207243025302887e-02,5.100000000000000000e+01
3.705786764621734619e-01,1.346668154001235962e-01,1.813514903187751770e-02,2.100000000000000000e+01
5.010417103767395020e-01,1.719458401203155518e-01,2.956537157297134399e-02,1.000000000000000000e+02
5.062078833580017090e-01,1.964932531118392944e-01,3.860959783196449280e-02,0.000000000000000000e+00
4.955671727657318115e-01,1.889246851205825806e-01,3.569253534078598022e-02,4.300000000000000000e+01
4.961559772491455078e-01,1.919584870338439941e-01,3.684806078672409058e-02,2.000000000000000000e+00
4.726878404617309570e-01,1.437961906194686890e-01,2.067734487354755402e-02,3.900000000000000000e+01
5.009201169013977051e-01,1.723446398973464966e-01,2.970267646014690399e-02,9.100000000000000000e+01
5.589145421981811523e-01,1.893894374370574951e-01,3.586835786700248718e-02,3.400000000000000000e+01
5.068550705909729004e-01,1.862236261367797852e-01,3.467923775315284729e-02,4.800000000000000000e+01
5.258712768554687500e-01,1.919315755367279053e-01,3.683773055672645569e-02,3.500000000000000000e+01
4.837440848350524902e-01,1.981457471847534180e-01,3.926173597574234009e-02,5.500000000000000000e+01
4.689012765884399414e-01,1.813237369060516357e-01,3.287829458713531494e-02,8.500000000000000000e+01
4.942612648010253906e-01,1.934943348169326782e-01,3.744006156921386719e-02,7.100000000000000000e+01
5.114927887916564941e-01,1.727097779512405396e-01,2.982866577804088593e-02,5.000000000000000000e+01
5.015347599983215332e-01,2.002222537994384766e-01,4.008895158767700195e-02,2.900000000000000000e+01
4.884976446628570557e-01,2.134098559617996216e-01,4.554376378655433655e-02,4.600000000000000000e+01
5.174574851989746094e-01,1.929823607206344604e-01,3.724218904972076416e-02,4.000000000000000000e+01
5.137494206428527832e-01,1.821048557758331299e-01,3.316217660903930664e-02,2.700000000000000000e+01
5.135301947593688965e-01,2.018463909626007080e-01,4.074196889996528625e-02,8.000000000000000000e+00
5.254059433937072754e-01,1.719217151403427124e-01,2.955707535147666931e-02,2.000000000000000000e+00
4.056143164634704590e-01,1.693108081817626953e-01,2.866614982485771179e-02,9.900000000000000000e+01
5.094161629676818848e-01,1.952450573444366455e-01,3.812063112854957581e-02,4.400000000000000000e+01
5.123889446258544922e-01,1.952863782644271851e-01,3.813676908612251282e-02,4.800000000000000000e+01
5.130131840705871582e-01,1.914178431034088135e-01,3.664078935980796814e-02,6.500000000000000000e+01
5.094295740127563477e-01,1.824879944324493408e-01,3.330186754465103149e-02,6.200000000000000000e+01
4.906316995620727539e-01,1.953416764736175537e-01,3.815837204456329346e-02,4.600000000000000000e+01
5.014811158180236816e-01,1.707410216331481934e-01,2.915249578654766083e-02,5.100000000000000000e+01
5.000076293945312500e-01,1.791919767856597900e-01,3.210976719856262207e-02,6.200000000000000000e+01
